Transaction Name,Organization Location,Organization Industries,Organization Name,Funding Type,Money Raised,Announced Date,Number of Investors,Lead Investors,Funding Stage
Seed - Anchor Intelligence,"San Francisco, California, United States","Agentic AI, AI Infrastructure",Anchor Intelligence,Seed,"$5,400,000","Apr 15, 2026",2,"Frontier Fund, Brightwater Fund",Seed
Series A - Tensorsynth Works,"San Francisco, California, United States","Foundational AI, Generative AI, Agentic AI",Tensorsynth Works,Series A,"$73,300,000","Dec 2, 2025",2,Pinnacle Fund,Early Stage Venture
Series A - Iristensor Scale,"New York, New York, United States","Foundational AI, SaaS, AI Infrastructure",Iristensor Scale,Series A,"$71,500,000","Feb 27, 2026",4,Brightwater VC,Early Stage Venture
Series B - Apex Stack,"Vancouver, British Columbia, Canada",AI Infrastructure,Apex Stack,Series B,"$75,500,000","Dec 16, 2025",2,"Summit Ventures, Union Square Capital",Early Stage Venture
Seed - Vail Technologies,"Mountain View, California, United States","AI Infrastructure, Generative AI, Foundational AI",Vail Technologies,Seed,"$9,300,000","May 1, 2026",2,Lakeside Capital,Seed
Series B - Opal Technologies,"Toronto, Ontario, Canada","Agentic AI, SaaS",Opal Technologies,Series B,"$104,900,000","Aug 20, 2025",4,Catalyst Partners,Early Stage Venture
Series D - Spark AI,"Washington, District of Columbia, United States",Agentic AI,Spark AI,Series D,"$244,000,000","Apr 23, 2026",8,Harbor Fund,Late Stage Venture
Seed - Bloom Works,"Cambridge, Massachusetts, United States",SaaS,Bloom Works,Seed,"$6,300,000","Jan 31, 2026",2,Westbrook VC,Seed
Series A - Groveprism Technologies,"San Francisco, California, United States","Generative AI, AI Infrastructure",Groveprism Technologies,Series A,"$18,700,000","Sep 12, 2025",3,Beacon Ventures,Early Stage Venture
Series C - Cobalt Core,"San Francisco, California, United States","Agentic AI, AI Infrastructure",Cobalt Core,Series C,"$257,600,000","Apr 10, 2026",7,Stonebridge Ventures,Late Stage Venture
Series A - Delve Labs,"Palo Alto, California, United States","Generative AI, Agentic AI",Delve Labs,Series A,"$535,700,000","Apr 19, 2026",2,Beacon Ventures,Early Stage Venture
Series A - Frame Compute,"Cambridge, Massachusetts, United States",SaaS,Frame Compute,Series A,"$6,400,000","Apr 27, 2026",5,Lakeside Ventures,Early Stage Venture
Seed - Echo Flow,"New York, New York, United States","SaaS, Foundational AI",Echo Flow,Seed,"$3,700,000","Sep 12, 2025",4,Northstar Fund,Seed
Series B - Orbit Sense,"Austin, Texas, United States","SaaS, Foundational AI, Generative AI",Orbit Sense,Series B,"$154,600,000","Nov 19, 2025",6,"Apex Ventures, Summit Capital Partners",Early Stage Venture
Series C - Mara Stack,"Los Angeles, California, United States",SaaS,Mara Stack,Series C,"$89,100,000","Aug 7, 2025",4,Cobalt Fund,Late Stage Venture
Seed - Arc Grid,"Cambridge, Massachusetts, United States","Foundational AI, SaaS",Arc Grid,Seed,"$7,500,000","Apr 4, 2026",1,Harbor VC,Seed
Seed - Stratavertex Technologies,"San Francisco, California, United States","SaaS, Generative AI",Stratavertex Technologies,Seed,"$9,000,000","Oct 31, 2025",3,"Ascent Capital, Highland Fund",Seed
Series A - Pylon Layer,"New York, New York, United States",AI Infrastructure,Pylon Layer,Series A,"$5,300,000","Jan 5, 2026",2,Sterling Capital Partners,Early Stage Venture
Seed - Glide,"Seattle, Washington, United States","Agentic AI, Foundational AI",Glide,Seed,"$19,000,000","Oct 26, 2025",4,"Vista Fund, Frontier Growth",Seed
Series A - Nimbus Grid,"San Francisco, California, United States","Agentic AI, Generative AI, SaaS",Nimbus Grid,Series A,"$28,200,000","Jun 1, 2025",2,Brightwater Partners,Early Stage Venture
Series B - Maravertex Core,"Boston, Massachusetts, United States","Generative AI, SaaS",Maravertex Core,Series B,"$37,100,000","Nov 5, 2025",4,Northstar Fund,Early Stage Venture
Series B - Reify,"San Francisco, California, United States",Agentic AI,Reify,Series B,"$31,700,000","May 11, 2026",5,"Anchor Partners, Ascent VC",Early Stage Venture
Seed - Pace Cloud,"Denver, Colorado, United States",Foundational AI,Pace Cloud,Seed,"$8,200,000","Mar 12, 2026",1,Lakeside Capital,Seed
Seed - Lumin Cloud,"Seattle, Washington, United States","SaaS, Generative AI, Agentic AI",Lumin Cloud,Seed,"$7,000,000","Apr 1, 2026",1,"Sterling Capital, Vista Fund",Seed
Series B - Quill Intelligence,"San Francisco, California, United States",Generative AI,Quill Intelligence,Series B,"$48,600,000","Jul 18, 2025",5,Cardinal Capital,Early Stage Venture
Series C - Hale Sense,"San Jose, California, United States",Agentic AI,Hale Sense,Series C,"$159,100,000","Feb 20, 2026",4,Anchor Partners,Late Stage Venture
Series A - Quant Systems,"Toronto, Ontario, Canada","Foundational AI, Generative AI",Quant Systems,Series A,"$91,900,000","Sep 11, 2025",3,Catalyst Partners,Early Stage Venture
Seed - Halo Compute,"San Francisco, California, United States",Generative AI,Halo Compute,Seed,"$4,200,000","Nov 27, 2025",3,Northstar Capital,Seed
Series A - Keystone Scale,"San Francisco, California, United States",Agentic AI,Keystone Scale,Series A,"$16,500,000","Jun 28, 2025",2,Aurora Ventures,Early Stage Venture
Series B - Tensorframe Scale,"Boston, Massachusetts, United States","AI Infrastructure, SaaS, Generative AI",Tensorframe Scale,Series B,"$92,300,000","Apr 26, 2026",5,Union Square Capital,Early Stage Venture
Seed - Lumin Systems,"San Jose, California, United States","Generative AI, AI Infrastructure, Agentic AI",Lumin Systems,Seed,"$4,300,000","Apr 6, 2026",2,Apex Capital,Seed
Series B - Quill Scale,"Cambridge, Massachusetts, United States","Agentic AI, SaaS",Quill Scale,Series B,"$36,100,000","Feb 2, 2026",5,Meridian VC,Early Stage Venture
Series B - Pylon Systems,"Austin, Texas, United States","SaaS, Agentic AI",Pylon Systems,Series B,"$71,600,000","Nov 14, 2025",6,Beacon Ventures,Early Stage Venture
Seed - Cortex Systems,"San Francisco, California, United States","Generative AI, Agentic AI, SaaS",Cortex Systems,Seed,"$4,500,000","Aug 15, 2025",2,Meridian Partners,Seed
Series A - Mosaic Stack,"Toronto, Ontario, Canada","Generative AI, SaaS",Mosaic Stack,Series A,"$75,300,000","Dec 24, 2025",3,"Ascent Growth, Brightwater Capital Partners",Early Stage Venture
Series C - Forge Stack,"Palo Alto, California, United States","Generative AI, AI Infrastructure, SaaS",Forge Stack,Series C,"$246,600,000","Dec 13, 2025",6,Foundry Group,Late Stage Venture
Seed - Tess Flow,"New York, New York, United States",Generative AI,Tess Flow,Seed,"$3,000,000","Aug 4, 2025",2,Ascent VC,Seed
Seed - Echomara Systems,"Atlanta, Georgia, United States","Foundational AI, Agentic AI",Echomara Systems,Seed,"$22,900,000","Jan 4, 2026",4,Union Square Capital,Seed
Seed - Rune,"Vancouver, British Columbia, Canada","AI Infrastructure, SaaS",Rune,Seed,"$5,600,000","Feb 2, 2026",1,Stonebridge Ventures,Seed
Series D - Dyne Systems,"Boston, Massachusetts, United States","SaaS, Agentic AI, Generative AI",Dyne Systems,Series D,"$374,000,000","Mar 1, 2026",3,Northstar Growth,Late Stage Venture
Series C - Latticezeal Stack,"Los Angeles, California, United States","Agentic AI, Generative AI",Latticezeal Stack,Series C,"$215,700,000","Jan 29, 2026",7,Ascent Capital,Late Stage Venture
Series A - Lumin Stack,"San Francisco, California, United States",SaaS,Lumin Stack,Series A,"$8,300,000","Oct 10, 2025",2,"Westbrook VC, Aurora Ventures",Early Stage Venture
Series C - Pylon Works,"Palo Alto, California, United States","AI Infrastructure, Agentic AI",Pylon Works,Series C,"$424,500,000","Aug 14, 2025",7,"Apex Ventures, Vertex Growth",Late Stage Venture
Series B - Brim Compute,"Austin, Texas, United States",Agentic AI,Brim Compute,Series B,"$33,200,000","Jul 30, 2025",2,Apex Capital,Early Stage Venture
Series A - Helix Flow,"New York, New York, United States","SaaS, AI Infrastructure",Helix Flow,Series A,"$16,800,000","Oct 26, 2025",5,Vista Fund,Early Stage Venture
Series D - Fable Logic,"New York, New York, United States","Generative AI, SaaS",Fable Logic,Series D,"$249,000,000","May 2, 2026",7,Apex Partners,Late Stage Venture
Series B - Keystone Compute,"San Francisco, California, United States","AI Infrastructure, Generative AI",Keystone Compute,Series B,"$62,900,000","Nov 27, 2025",3,"Cobalt Fund, Harbor Fund",Early Stage Venture
Seed - Latent.ai,"San Francisco, California, United States","Generative AI, SaaS",Latent.ai,Seed,"$4,900,000","Apr 28, 2026",2,"Lighthouse Capital Partners, Crescent Capital",Seed
Seed - Pinnaclenexa Works,"Palo Alto, California, United States","SaaS, Agentic AI",Pinnaclenexa Works,Seed,"$1,500,000","Oct 11, 2025",3,Stonebridge Group,Seed
Series A - Spark Scale,"San Francisco, California, United States","AI Infrastructure, Generative AI, SaaS",Spark Scale,Series A,"$126,900,000","Jul 23, 2025",2,Pinnacle Partners,Early Stage Venture
Series B - Fable AI,"Seattle, Washington, United States","Generative AI, AI Infrastructure",Fable AI,Series B,"$36,000,000","Mar 22, 2026",2,Bay Capital,Early Stage Venture
Series A - Parsepace Grid,"Toronto, Ontario, Canada",SaaS,Parsepace Grid,Series A,"$10,100,000","Apr 20, 2026",2,Catalyst Capital,Early Stage Venture
Seed - Pylonparse Scale,"Seattle, Washington, United States","SaaS, Agentic AI",Pylonparse Scale,Seed,"$2,200,000","May 19, 2026",3,Brightwater Partners,Seed
Series A - Lumin,"New York, New York, United States",Generative AI,Lumin,Series A,"$43,000,000","Jan 17, 2026",2,Ascent Growth,Early Stage Venture
Seed - Pace Technologies,"Palo Alto, California, United States","Agentic AI, Generative AI",Pace Technologies,Seed,"$3,300,000","Apr 13, 2026",1,Pinnacle Fund,Seed
Seed - Sage.ai,"San Francisco, California, United States",Generative AI,Sage.ai,Seed,"$5,300,000","Feb 10, 2026",2,Summit Group,Seed
Series A - Pinnacle.ai,"Boston, Massachusetts, United States","SaaS, Foundational AI",Pinnacle.ai,Series A,"$151,200,000","Nov 19, 2025",2,Redwood Growth,Early Stage Venture
Series B - Nova Layer,"Cambridge, Massachusetts, United States",Agentic AI,Nova Layer,Series B,"$61,100,000","Feb 5, 2026",2,Aurora Ventures,Early Stage Venture
Series C - Fable Works,"New York, New York, United States","AI Infrastructure, Generative AI",Fable Works,Series C,"$1,274,600,000","Feb 11, 2026",7,"Brightwater Partners, Anchor VC",Late Stage Venture
Seed - Drift Sense,"Cambridge, Massachusetts, United States",Generative AI,Drift Sense,Seed,"$3,300,000","Sep 15, 2025",3,Frontier Ventures,Seed
Series B - Pylon Compute,"San Francisco, California, United States","SaaS, Agentic AI",Pylon Compute,Series B,"$60,500,000","Nov 19, 2025",6,"Highland Partners, Sterling VC",Early Stage Venture
Seed - Vela AI,"San Francisco, California, United States",AI Infrastructure,Vela AI,Seed,"$5,100,000","May 13, 2026",3,Frontier Ventures,Seed
Seed - Tensor Flow,"San Francisco, California, United States",SaaS,Tensor Flow,Seed,"$2,800,000","Sep 19, 2025",4,Brightwater Capital Partners,Seed
Seed - Tensorumbra Cloud,"San Francisco, California, United States","AI Infrastructure, SaaS",Tensorumbra Cloud,Seed,"$4,300,000","Oct 30, 2025",2,"Foundry Partners, North Capital",Seed
Series C - Tilde Sense,"Ottawa, Ontario, Canada","AI Infrastructure, Generative AI",Tilde Sense,Series C,"$305,800,000","Jan 6, 2026",4,Harbor Partners,Late Stage Venture
Series A - Neur Core,"San Francisco, California, United States","AI Infrastructure, Generative AI, SaaS",Neur Core,Series A,"$79,700,000","Feb 1, 2026",2,Pinnacle VC,Early Stage Venture
Seed - Atlassage Systems,"San Francisco, California, United States","AI Infrastructure, Agentic AI",Atlassage Systems,Seed,"$4,100,000","Jan 19, 2026",4,"Apex Capital, Crescent Capital",Seed
Series B - Nexa Flow,"San Jose, California, United States",Foundational AI,Nexa Flow,Series B,"$60,300,000","Apr 10, 2026",6,Meridian VC,Early Stage Venture
Series B - Cortex Sense,"Seattle, Washington, United States",SaaS,Cortex Sense,Series B,"$30,500,000","Aug 29, 2025",6,"Granite Capital Partners, Meridian VC",Early Stage Venture
Seed - Ember Sense,"Palo Alto, California, United States",AI Infrastructure,Ember Sense,Seed,"$2,400,000","Feb 25, 2026",1,Catalyst Partners,Seed
Series B - Delvepylon Systems,"Mountain View, California, United States","Generative AI, SaaS",Delvepylon Systems,Series B,"$27,400,000","Sep 13, 2025",6,"Brightwater Fund, Meridian Partners",Early Stage Venture
Series A - Mara Layer,"San Francisco, California, United States","SaaS, Agentic AI",Mara Layer,Series A,"$18,500,000","May 2, 2026",4,Frontier Fund,Early Stage Venture
Series B - Vergesable Stack,"San Francisco, California, United States","Agentic AI, Generative AI",Vergesable Stack,Series B,"$46,400,000","Aug 15, 2025",4,North VC,Early Stage Venture
Series A - Strata Compute,"Austin, Texas, United States",AI Infrastructure,Strata Compute,Series A,"$32,500,000","Jun 22, 2025",4,Beacon Ventures,Early Stage Venture
Seed - Vant Cloud,"San Francisco, California, United States",AI Infrastructure,Vant Cloud,Seed,"$600,000","Aug 2, 2025",1,Vertex Growth,Seed
Series B - Rune Sense,"Austin, Texas, United States","SaaS, Generative AI, AI Infrastructure",Rune Sense,Series B,"$72,400,000","Mar 21, 2026",3,"Beacon Ventures, Catalyst Capital",Early Stage Venture
Series B - Solace.ai,"New York, New York, United States","SaaS, Generative AI",Solace.ai,Series B,"$98,300,000","Jun 29, 2025",6,"Granite Capital, Stonebridge Ventures",Early Stage Venture
Seed - Cove Systems,"New York, New York, United States","Generative AI, Agentic AI, SaaS",Cove Systems,Seed,"$3,200,000","Jun 29, 2025",3,Northstar VC,Seed
Seed - Vertex Stack,"Washington, District of Columbia, United States",Generative AI,Vertex Stack,Seed,"$4,900,000","Jan 4, 2026",4,Crescent Fund,Seed
Series A - Opalyara Cloud,"Los Angeles, California, United States",Agentic AI,Opalyara Cloud,Series A,"$9,300,000","Dec 30, 2025",3,Cedar Capital Partners,Early Stage Venture
Series B - Lumen Stack,"San Francisco, California, United States",Generative AI,Lumen Stack,Series B,"$36,100,000","Jun 14, 2025",2,Anchor VC,Early Stage Venture
Series D - Beaconcobalt Core,"San Francisco, California, United States","Foundational AI, AI Infrastructure",Beaconcobalt Core,Series D,"$1,191,500,000","Apr 3, 2026",8,Cardinal Capital,Late Stage Venture
Series A - Drift Logic,"Boston, Massachusetts, United States","AI Infrastructure, Agentic AI",Drift Logic,Series A,"$39,800,000","Nov 11, 2025",5,"Sterling Capital Partners, Pinnacle Capital Partners",Early Stage Venture
Seed - Apex Labs,"Boston, Massachusetts, United States",Agentic AI,Apex Labs,Seed,"$7,000,000","Sep 2, 2025",1,North VC,Seed
Series A - Zenith.ai,"San Jose, California, United States","SaaS, Foundational AI, Generative AI",Zenith.ai,Series A,"$31,700,000","Feb 4, 2026",5,Summit Capital Partners,Early Stage Venture
Seed - Cipher Scale,"Chicago, Illinois, United States",Generative AI,Cipher Scale,Seed,"$3,500,000","Jul 29, 2025",4,Union Square Capital Partners,Seed
Seed - Echo Layer,"Cambridge, Massachusetts, United States",Generative AI,Echo Layer,Seed,"$4,800,000","Jun 15, 2025",1,Harbor Growth,Seed
Seed - Forgehale Systems,"Los Angeles, California, United States",Generative AI,Forgehale Systems,Seed,"$5,800,000","Jul 31, 2025",3,Anchor VC,Seed
Series B - Vector,"San Francisco, California, United States","SaaS, AI Infrastructure",Vector,Series B,"$64,300,000","Oct 21, 2025",6,Summit Capital Partners,Early Stage Venture
Series C - Axi.ai,"Los Angeles, California, United States","AI Infrastructure, Agentic AI",Axi.ai,Series C,"$198,100,000","Aug 27, 2025",7,Redwood Ventures,Late Stage Venture
Series C - Strata Layer,"San Francisco, California, United States","SaaS, Agentic AI, AI Infrastructure",Strata Layer,Series C,"$155,300,000","Nov 8, 2025",3,Pinnacle Growth,Late Stage Venture
Seed - Forge Flow,"Cambridge, Massachusetts, United States","SaaS, Agentic AI",Forge Flow,Seed,"$2,700,000","Jan 6, 2026",2,"Keystone Fund, Apex Partners",Seed
Seed - Glide Flow,"Seattle, Washington, United States",AI Infrastructure,Glide Flow,Seed,"$3,600,000","Aug 26, 2025",1,Summit Group,Seed
Seed - Vox Grid,"Austin, Texas, United States","SaaS, Generative AI",Vox Grid,Seed,"$3,700,000","Apr 26, 2026",4,Frontier Fund,Seed
Series A - Cascade Technologies,"San Francisco, California, United States",Foundational AI,Cascade Technologies,Series A,"$29,300,000","Aug 8, 2025",2,Ascent Capital,Early Stage Venture
Series B - Arccoda Cloud,"Seattle, Washington, United States","Generative AI, Agentic AI",Arccoda Cloud,Series B,"$113,500,000","Feb 8, 2026",5,Compass Capital Partners,Early Stage Venture
Series A - Runevant Scale,"Ottawa, Ontario, Canada","AI Infrastructure, SaaS",Runevant Scale,Series A,"$19,600,000","Jun 19, 2025",2,Compass Capital Partners,Early Stage Venture
Series C - Irisparse Core,"New York, New York, United States",SaaS,Irisparse Core,Series C,"$50,000,000","May 17, 2026",7,Keystone Fund,Late Stage Venture
Series A - Lumen Logic,"Mountain View, California, United States",Generative AI,Lumen Logic,Series A,"$7,200,000","Dec 5, 2025",4,"Granite Capital, Catalyst Ventures",Early Stage Venture
Series B - Apex Core,"Seattle, Washington, United States","Agentic AI, Foundational AI",Apex Core,Series B,"$66,100,000","May 19, 2026",2,"Frontier Ventures, Catalyst Capital",Early Stage Venture
Seed - Maragrove Works,"Cambridge, Massachusetts, United States","Generative AI, SaaS",Maragrove Works,Seed,"$6,900,000","Mar 21, 2026",1,"Redwood Ventures, Harbor Growth",Seed
Series B - Zenith Core,"Seattle, Washington, United States",Foundational AI,Zenith Core,Series B,"$198,000,000","Oct 31, 2025",6,Union Square Capital,Early Stage Venture
Series A - Ember Systems,"Boston, Massachusetts, United States","SaaS, Agentic AI, Foundational AI",Ember Systems,Series A,"$42,100,000","Nov 2, 2025",4,Foundry Group,Early Stage Venture
Seed - Mura Layer,"Boston, Massachusetts, United States",Generative AI,Mura Layer,Seed,"$8,700,000","Sep 4, 2025",4,Ascent Partners,Seed
Seed - Ketl,"San Francisco, California, United States","SaaS, AI Infrastructure",Ketl,Seed,"$2,700,000","May 17, 2026",3,"Highland Ventures, Vista Fund",Seed
Series C - Beacon Compute,"Cambridge, Massachusetts, United States","AI Infrastructure, SaaS, Generative AI",Beacon Compute,Series C,"$162,800,000","Oct 4, 2025",5,Granite Capital Partners,Late Stage Venture
Series D - Tensor Compute,"San Francisco, California, United States",SaaS,Tensor Compute,Series D,"$347,500,000","Apr 26, 2026",3,"Bay Capital, Brightwater Fund",Late Stage Venture
Seed - Tilde Logic,"Toronto, Ontario, Canada","Agentic AI, Generative AI, Foundational AI",Tilde Logic,Seed,"$4,200,000","Sep 29, 2025",1,Lakeside Ventures,Seed
Series C - Opal Works,"San Francisco, California, United States","SaaS, AI Infrastructure",Opal Works,Series C,"$272,700,000","Mar 27, 2026",6,"Pinnacle VC, Northstar VC",Late Stage Venture
Seed - Yara Labs,"New York, New York, United States",Generative AI,Yara Labs,Seed,"$6,100,000","May 16, 2026",2,"Redwood Growth, Greylock Capital",Seed
Series A - Parse Stack,"Austin, Texas, United States",Agentic AI,Parse Stack,Series A,"$18,800,000","Jun 5, 2025",5,"Cobalt Fund, Anchor VC",Early Stage Venture
Seed - Tilde Cloud,"Washington, District of Columbia, United States","Generative AI, Agentic AI",Tilde Cloud,Seed,"$4,800,000","Apr 5, 2026",3,Catalyst Ventures,Seed
Series B - Echo AI,"Seattle, Washington, United States","Generative AI, AI Infrastructure",Echo AI,Series B,"$61,900,000","Feb 20, 2026",3,"Lakeside Capital, Highland Ventures",Early Stage Venture
Series B - Echoyara Works,"Chicago, Illinois, United States",Foundational AI,Echoyara Works,Series B,"$185,000,000","Sep 2, 2025",5,"Pinnacle Partners, Union Square Capital",Early Stage Venture
Seed - Frame Intelligence,"Atlanta, Georgia, United States",AI Infrastructure,Frame Intelligence,Seed,"$5,000,000","Aug 27, 2025",1,Stonebridge Ventures,Seed
Series A - Lumen Technologies,"San Francisco, California, United States","Agentic AI, SaaS, Generative AI",Lumen Technologies,Series A,"$25,800,000","Aug 14, 2025",2,Frontier Growth,Early Stage Venture
Seed - Delveecho Systems,"Washington, District of Columbia, United States","Generative AI, SaaS",Delveecho Systems,Seed,"$6,900,000","Dec 14, 2025",4,"Cobalt Fund, Union Square Capital Partners",Seed
Seed - Atlas Grid,"Ottawa, Ontario, Canada",Agentic AI,Atlas Grid,Seed,"$11,400,000","Apr 14, 2026",4,Brightwater VC,Seed
Series B - Quantnova,"New York, New York, United States",SaaS,Quantnova,Series B,"$25,600,000","Aug 12, 2025",4,Sterling VC,Early Stage Venture
Series D - Sable Works,"New York, New York, United States","SaaS, Generative AI",Sable Works,Series D,"$92,600,000","Aug 17, 2025",7,"Compass Capital Partners, Foundry Partners",Late Stage Venture
Series B - Helixsable Compute,"San Francisco, California, United States",Generative AI,Helixsable Compute,Series B,"$53,100,000","Feb 9, 2026",2,Granite Capital Partners,Early Stage Venture
Series A - Driftbeacon Logic,"San Francisco, California, United States","SaaS, AI Infrastructure",Driftbeacon Logic,Series A,"$14,300,000","May 6, 2026",3,Aurora Group,Early Stage Venture
Series A - JunO.ai,"San Francisco, California, United States","Agentic AI, Generative AI",JunO.ai,Series A,"$33,800,000","Mar 30, 2026",2,"Apex Ventures, Catalyst Ventures",Early Stage Venture
Seed - Ember AI,"San Francisco, California, United States","AI Infrastructure, Agentic AI",Ember AI,Seed,"$5,600,000","Mar 19, 2026",2,Ascent Capital,Seed
Series B - Nexa Scale,"New York, New York, United States",SaaS,Nexa Scale,Series B,"$37,800,000","Dec 22, 2025",2,Meridian VC,Early Stage Venture
Seed - Halo.ai,"Denver, Colorado, United States","Generative AI, SaaS",Halo.ai,Seed,"$8,600,000","Jul 20, 2025",3,Bay Capital,Seed
Series A - Zealvox Core,"Denver, Colorado, United States",Generative AI,Zealvox Core,Series A,"$23,900,000","Jun 21, 2025",4,"Apex Partners, Union Square Capital",Early Stage Venture
Series A - Opal Systems,"New York, New York, United States","SaaS, Agentic AI",Opal Systems,Series A,"$37,600,000","Aug 5, 2025",4,"Pinnacle Growth, Northstar VC",Early Stage Venture
Seed - Quantvox Sense,"New York, New York, United States",Generative AI,Quantvox Sense,Seed,"$2,900,000","Nov 29, 2025",3,Lakeside Ventures,Seed
Seed - Reifyquill Labs,"Mountain View, California, United States","Foundational AI, SaaS",Reifyquill Labs,Seed,"$18,600,000","Oct 14, 2025",3,"Crescent Capital, Stonebridge Capital",Seed
Seed - Glide Core,"San Francisco, California, United States","AI Infrastructure, SaaS",Glide Core,Seed,"$2,900,000","May 21, 2026",4,"Westbrook VC, Bay Capital",Seed
Seed - Reifyecho Stack,"San Francisco, California, United States","AI Infrastructure, SaaS",Reifyecho Stack,Seed,"$2,100,000","Jan 10, 2026",2,Ascent Partners,Seed
Seed - Grove AI,"Cambridge, Massachusetts, United States",Generative AI,Grove AI,Seed,"$1,700,000","Jun 27, 2025",3,Brightwater Partners,Seed
Series C - JunO,"Boston, Massachusetts, United States",Agentic AI,JunO,Series C,"$81,600,000","Mar 30, 2026",7,"Bay Capital, Anchor Ventures",Late Stage Venture
Series B - Maracoda Grid,"Montreal, Quebec, Canada","Agentic AI, Generative AI",Maracoda Grid,Series B,"$92,800,000","Sep 7, 2025",5,Anchor Ventures,Early Stage Venture
Series A - Frame Technologies,"Austin, Texas, United States","AI Infrastructure, SaaS",Frame Technologies,Series A,"$22,600,000","May 1, 2026",4,"Summit Capital Partners, Pinnacle Ventures",Early Stage Venture
Seed - Pyloniris Intelligence,"San Francisco, California, United States","Generative AI, AI Infrastructure",Pyloniris Intelligence,Seed,"$7,300,000","Oct 12, 2025",3,"Aurora Ventures, Lakeside Ventures",Seed
Seed - Codaprism Dynamics,"New York, New York, United States",Agentic AI,Codaprism Dynamics,Seed,"$9,100,000","Aug 17, 2025",1,"Beacon Ventures, Highland Partners",Seed
Series D - Bloom.ai,"San Francisco, California, United States","SaaS, AI Infrastructure",Bloom.ai,Series D,"$153,600,000","Dec 3, 2025",4,"Beacon Ventures, Lakeside Ventures",Late Stage Venture
Series A - Drift Intelligence,"New York, New York, United States","Generative AI, AI Infrastructure, SaaS",Drift Intelligence,Series A,"$37,800,000","Nov 22, 2025",4,Union Square VC,Early Stage Venture
Seed - Opal Core,"San Francisco, California, United States","Agentic AI, AI Infrastructure",Opal Core,Seed,"$2,000,000","Feb 20, 2026",3,"Beacon Ventures, Redwood Growth",Seed
Series B - Keystone Cloud,"Los Angeles, California, United States","Foundational AI, Generative AI",Keystone Cloud,Series B,"$505,300,000","Aug 17, 2025",6,Brightwater Partners,Early Stage Venture
Series D - Solace Stack,"Mountain View, California, United States","SaaS, AI Infrastructure",Solace Stack,Series D,"$179,500,000","Apr 9, 2026",4,"Compass Ventures, Ascent VC",Late Stage Venture
Seed - Quillanchor Systems,"New York, New York, United States","SaaS, Agentic AI",Quillanchor Systems,Seed,"$3,100,000","Feb 17, 2026",3,Foundry Partners,Seed
Seed - Quill Core,"San Francisco, California, United States",SaaS,Quill Core,Seed,"$1,300,000","Nov 29, 2025",1,Pinnacle Fund,Seed
Series D - Neur Layer,"Palo Alto, California, United States",AI Infrastructure,Neur Layer,Series D,"$731,000,000","Apr 18, 2026",8,Westbrook Capital Partners,Late Stage Venture
Seed - Nimbusnimbus Dynamics,"Cambridge, Massachusetts, United States",AI Infrastructure,Nimbusnimbus Dynamics,Seed,"$7,200,000","Jan 4, 2026",4,Ascent Growth,Seed
Series A - Nexa Logic,"New York, New York, United States",Generative AI,Nexa Logic,Series A,"$25,500,000","Mar 27, 2026",5,"Beacon Ventures, Harbor Growth",Early Stage Venture
Series C - Sparkdelve Sense,"San Francisco, California, United States","SaaS, AI Infrastructure",Sparkdelve Sense,Series C,"$738,300,000","Sep 17, 2025",6,Summit Capital Partners,Late Stage Venture
Series D - Arcaether Core,"Boston, Massachusetts, United States",SaaS,Arcaether Core,Series D,"$165,900,000","Aug 12, 2025",7,Sterling Capital,Late Stage Venture
Series C - Irisvertex AI,"San Francisco, California, United States",SaaS,Irisvertex AI,Series C,"$50,000,000","Jan 18, 2026",5,"Keystone Fund, Westbrook VC",Late Stage Venture
Seed - Covepinnacle Layer,"San Francisco, California, United States",AI Infrastructure,Covepinnacle Layer,Seed,"$6,200,000","Dec 20, 2025",3,Frontier Fund,Seed
Series C - Sage Scale,"Seattle, Washington, United States","AI Infrastructure, SaaS",Sage Scale,Series C,"$211,800,000","Feb 23, 2026",4,"Lakeside Ventures, Brightwater Fund",Late Stage Venture
Seed - Cobalt,"Denver, Colorado, United States","Generative AI, Agentic AI, SaaS",Cobalt,Seed,"$16,200,000","Jun 12, 2025",3,North Group,Seed
Seed - Siftspark Scale,"San Francisco, California, United States","Agentic AI, Generative AI",Siftspark Scale,Seed,"$4,500,000","May 14, 2026",2,Northstar Fund,Seed
Seed - Spark Core,"Palo Alto, California, United States","Generative AI, Agentic AI",Spark Core,Seed,"$1,900,000","Sep 30, 2025",4,Lakeside Ventures,Seed
Series A - Frame Scale,"New York, New York, United States",Generative AI,Frame Scale,Series A,"$17,700,000","Oct 16, 2025",2,Granite Capital Partners,Early Stage Venture
Series A - Larq Intelligence,"San Francisco, California, United States",AI Infrastructure,Larq Intelligence,Series A,"$28,300,000","Jan 3, 2026",5,Ascent Partners,Early Stage Venture
Series D - Cortex Grid,"Palo Alto, California, United States","AI Infrastructure, Generative AI",Cortex Grid,Series D,"$633,100,000","Oct 23, 2025",3,Catalyst Partners,Late Stage Venture
Series A - Drift Technologies,"Ottawa, Ontario, Canada",Agentic AI,Drift Technologies,Series A,"$28,300,000","Nov 10, 2025",4,"Compass Ventures, Vista Capital",Early Stage Venture
Seed - Cogni Technologies,"San Francisco, California, United States","Agentic AI, AI Infrastructure, SaaS",Cogni Technologies,Seed,"$3,600,000","Dec 29, 2025",4,"Catalyst Partners, Union Square VC",Seed
